,Team,Score
0,Arsenal,26.335309012580794
1,Bournemouth,49.27866893104207
2,Brighton & Hove Albion,68.39988654639853
3,Burnley,86.36407929930031
4,Cardiff City,1.8532383179540297
5,Chelsea,74.73203901475013
6,Crystal Palace,4.456090161597169
7,Everton,30.013724265627086
8,Fulham,58.99960887483575
9,Huddersfield Town,93.05723426176006
10,Leicester City,100.00000000000001
11,Liverpool,60.67071401520018
12,Manchester City,24.87263171869161
13,Manchester United,40.43981404649154
14,Newcastle United,0.0
15,Southampton,65.27559929772085
16,Tottenham Hotspur,36.23212316631778
17,Watford,86.5075862718203
18,West Ham United,18.66961134973551
19,Wolverhampton Wanderers,87.59098939262927
