sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
138123,https://sofifa.com/player/138123/esteban-cambiasso/15/157759,E. Cambiasso,Esteban Matías Cambiasso Delau,33,1980-08-18,177,78,Argentina,Leicester City,78,78,0,0,"CDM, CM",Left,2,4,2,Medium/High,Normal,Yes,,,SUB,19.0,,2014-08-28,2015.0,,,59.0,72.0,75.0,72.0,76.0,75.0,,,,,,,Team Player,71,68,72,82,76,69,66,58,76,79,55,63,65,81,73,77,77,69,77,73,79,84,75,73,74,,68,80,74,8,6,12,6,14,72+0,72+0,72+0,72+0,73+0,73+0,73+0,72+0,75+0,75+0,75+0,73+0,77+0,77+0,77+0,73+0,75+0,78+0,78+0,78+0,75+0,76+0,76+0,76+0,76+0,76+0
163587,https://sofifa.com/player/163587/kasper-schmeichel/15/157759,K. Schmeichel,Kasper Schmeichel,27,1986-11-05,185,76,Denmark,Leicester City,74,77,0,0,GK,Right,1,3,1,Medium/Medium,Normal,No,,,GK,1.0,,2011-06-01,2018.0,GK,1.0,,,,,,,78.0,70.0,83.0,80.0,46.0,69.0,GK Up for Corners,25,25,25,20,25,25,25,25,25,23,40,50,58,63,47,35,58,35,56,25,32,25,25,25,25,,25,25,25,78,70,83,69,80+2,,,,,,,,,,,,,,,,,,,,,,,,,,
169600,https://sofifa.com/player/169600/danny-simpson/15/157759,D. Simpson,Danny Simpson,27,1987-01-04,177,77,England,Leicester City,73,74,0,0,"RB, RWB",Right,2,3,2,Medium/Medium,Lean,Yes,,,SUB,17.0,,2014-08-30,2017.0,,,75.0,38.0,64.0,69.0,72.0,74.0,,,,,,,,72,26,69,68,49,70,43,31,62,66-1,76,74,70,72,81,36,80,79,70,53,76,71,62,62,53,,71,74,77,9,14,12,8,10,55+0,55+0,55+0,67+0,58+0,58+0,58+0,67+0,62+0,62+0,62+0,69+0,67+0,67+0,67+0,69+0,72+0,70+0,70+0,70+0,72+0,73+0,72+0,72+0,72+0,73+0
50713,https://sofifa.com/player/50713/matthew-upson/15/157759,M. Upson,Matthew  Upson,35,1979-04-18,185,72,England,Leicester City,72,72,0,0,"CB, LB",Left,2,3,2,Medium/Medium,Normal,Yes,,,SUB,6.0,,2014-07-01,2015.0,,,33.0,26.0,53.0,46.0,73.0,76.0,,,,,,,"Long Passer (CPU AI Only), Power Header",38,21,73,62,35,40,32,21,65,56,33-19,33-7,31-12,71,45,21,70,66,79-2,31,80,74,37,54,43,,72-1,73,70-1,10,10,7,11,8,41+0,41+0,41+0,44+0,43+0,43+0,43+0,44+0,47+0,47+0,47+0,50+0,58+0,58+0,58+0,50+0,61+0,68+0,68+0,68+0,61+0,66+0,72+0,72+0,72+0,66+0
165788,https://sofifa.com/player/165788/leonardo-ulloa/15/157759,L. Ulloa,José Leonardo Ulloa,27,1986-07-26,185,80,Argentina,Leicester City,72,72,0,0,ST,Right,1,4,2,High/Medium,Normal,No,,,LS,23.0,,2014-07-22,2018.0,,,64.0,71.0,59.0,66.0,38.0,78.0,,,,,,,Power Header,50,73,78,65+1,71,67-1,53,55,62,69+2,62,65+2,56,73,57,75,73,68,85-2,61,73+25,24,76-2,58,66-2,,26+1,44+6,44+11,12,7,7,15,10,72+0,72+0,72+0,64+0,70+0,70+0,70+0,64+0,67+0,67+0,67+0,64+0,61+0,61+0,61+0,64+0,53+0,56+0,56+0,56+0,53+0,52+0,54+0,54+0,54+0,52+0
183130,https://sofifa.com/player/183130/marc-albrighton/15/157759,M. Albrighton,Marc Albrighton,24,1989-11-18,175,67,England,Leicester City,71,75,0,0,RM,Right,2,3,3,High/Medium,Lean,Yes,,,SUB,11.0,,2014-07-01,2018.0,,,78.0,67.0,68.0,75.0,30.0,54.0,,,,,,,"Early Crosser, Speed Dribbler (CPU AI Only)",81,67-2,36,65+1,73,78-2,79,60,59+2,73,77-4,79-1,77,59,75,69,40,72-4,40+1,67-1,69,39,58,67+6,59,,25,31,21,14,8,7,14,13,64+0,64+0,64+0,72+0,66+0,66+0,66+0,72+0,68+0,68+0,68+0,71+0,62+0,62+0,62+0,71+0,55+0,53+0,53+0,53+0,55+0,49+0,39+0,39+0,39+0,49+0
136113,https://sofifa.com/player/136113/wes-morgan/15/157759,W. Morgan,Wes Morgan,30,1984-01-21,185,93,Jamaica,Leicester City,71,71,0,0,CB,Right,1,3,2,Medium/Medium,Stocky,No,,#Strength,RCB,5.0,,2012-01-01,2017.0,,,61.0,33.0,43.0,55.0,70.0,82.0,,,,,,,"Injury Free, Leadership, Power Header",25,25,72,55,22,55-7,25,25,43,61,48-11,71,31,66,52,51,74,73,91,34,71,71,38,50,25,,72,69,67,13,9,5,6,7,49+0,49+0,49+0,47+0,50+0,50+0,50+0,47+0,50+0,50+0,50+0,50+0,55+0,55+0,55+0,50+0,61+0,64+0,64+0,64+0,61+0,65+0,71+0,71+0,71+0,65+0
139296,https://sofifa.com/player/139296/david-nugent/15/157759,D. Nugent,David Nugent,29,1985-05-02,180,81,England,Leicester City,71,71,0,0,ST,Right,1,3,3,High/Medium,Normal,No,,,RS,35.0,,2011-07-01,2016.0,,,79.0,71.0,58.0,72.0,28.0,62.0,,,,,,,"Beat Offside Trap, Finesse Shot",55,72,66,60,72,73,61,51,44,69-8,81-3,78-2,79-2,72,62,70,70,75,67,67,33,34,71,70,76,,21,22,21,13,14,13,13,12,71+0,71+0,71+0,69+0,70+0,70+0,70+0,69+0,70+0,70+0,70+0,67+0,60+0,60+0,60+0,67+0,51+0,50+0,50+0,50+0,51+0,46+0,41+0,41+0,41+0,46+0
148569,https://sofifa.com/player/148569/marcin-wasilewski/15/157759,M. Wasilewski,Marcin Ryszard Wasilewski,34,1980-06-09,186,88,Poland,Leicester City,71,71,0,0,"CB, RB",Right,2,3,2,Medium/High,Stocky,No,,#Strength,SUB,27.0,,2013-09-18,2015.0,,,45.0,55.0,59.0,41.0,69.0,79.0,,,,,,,"Long Throw-in, Power Header",66,46,79-2,60-1,36,36,53,66,53,50-1,33-15,54-2,33-8,60,34-4,78,60+2,62-11,87-1,53,87-1,66,48,56,71,,67+1,69-1,71,5,15,13,6,5,54+0,54+0,54+0,50+0,54+0,54+0,54+0,50+0,52+0,52+0,52+0,52+0,55+0,55+0,55+0,52+0,60+0,63+0,63+0,63+0,60+0,66+0,71+0,71+0,71+0,66+0
203910,https://sofifa.com/player/203910/anthony-knockaert/15/157759,A. Knockaert,Anthony Knockaert,22,1991-11-20,172,69,France,Leicester City,70,77,0,0,"RM, LM",Left,1,3,4,Medium/Medium,Normal,No,,#Acrobat,SUB,24.0,,2012-08-01,2016.0,,,74.0,69.0,67.0,75.0,29.0,58.0,,,,,,,"Power Free-Kick, Diver, Selfish, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",66,69,58,69,60,74,67,70,59,73,78,71-9,91,64,81,72,71,68,49,69,64,31,73,71,58,,25,20,33,13,13,7,10,7,68+0,68+0,68+0,72+0,70+0,70+0,70+0,72+0,72+0,72+0,72+0,70+0,63+0,63+0,63+0,70+0,53+0,52+0,52+0,52+0,53+0,48+0,43+0,43+0,43+0,48+0
